strategy,pair,base_algo,evo_algo,func,dim,n_reps,base_mean,evo_mean,improve_pct,evo_wins,base_wins,ties,win_rate,wilcoxon_p,significant_005
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Ackley,100,15,21.535213676492056,22.14155916807938,2.8156000711022093,15,0,0,100.0,6.103515625e-05,1
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Ackley,1000,5,21.356747941768013,22.099389528701984,3.4773158767377916,5,0,0,100.0,0.0625,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Ackley,200,10,21.418222373910474,22.11058018401592,3.232564299774971,10,0,0,100.0,0.001953125,1
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Ackley,2000,3,21.412231167680464,22.10455869910525,3.2333273725803213,3,0,0,100.0,nan,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Ackley,3000,2,21.532214189963604,22.079895295901025,2.543542903231482,2,0,0,100.0,nan,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Ackley,4000,2,21.664995317854874,22.089218252554286,1.95810305276085,2,0,0,100.0,nan,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Ackley,50,20,21.636996277748196,22.162611203958978,2.429241653802621,20,0,0,100.0,1.9073486328125e-06,1
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Ackley,500,5,21.367733334983296,22.096366885358627,3.409971188579048,5,0,0,100.0,0.0625,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Ackley,5000,2,21.697044955860562,22.099187971841268,1.8534460190261208,2,0,0,100.0,nan,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Griewank,100,15,8740.096300027286,8741.076816904968,0.011218604967532908,8,7,0,53.333333333333336,0.389404296875,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Griewank,200,10,17226.592423761675,17224.22871924248,-0.013721254099755453,5,5,0,50.0,0.556640625,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Griewank,50,20,4400.892005055721,4400.544985503507,-0.007885209448798659,10,10,0,50.0,0.5705966949462891,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rastrigin,100,15,3268.528225672207,3261.576605448482,-0.21268349984327836,2,13,0,13.333333333333334,0.012451171875,1
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rastrigin,1000,5,29109.966169755517,29109.53341967424,-0.0014866045489453099,1,4,0,20.0,0.3125,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rastrigin,200,10,6337.6980985074515,6337.65098984277,-0.0007433087526260119,5,5,0,50.0,0.6953125,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rastrigin,2000,3,57881.35493030282,57883.29476627167,0.0033514004141492492,2,1,0,66.66666666666666,nan,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rastrigin,3000,2,86021.13959544411,86028.14017521989,0.008138208594655123,1,1,0,50.0,nan,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rastrigin,4000,2,114310.4567734591,114314.91250137634,0.003897918040931683,2,0,0,100.0,nan,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rastrigin,50,20,1711.6274719223056,1713.5395153071302,0.1117090848440951,11,9,0,55.00000000000001,0.6742229461669922,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rastrigin,500,5,14779.85184274863,14779.682412667546,-0.0011463584539796153,1,4,0,20.0,0.625,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rastrigin,5000,2,142458.32504618834,142432.29777746001,-0.01827009317980538,0,2,0,0.0,nan,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rosenbrock,100,15,54630111.708190724,54780042.299413875,0.27444679597949884,11,4,0,73.33333333333333,0.072998046875,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rosenbrock,1000,5,463389064.8849098,463443829.07431805,0.011818187686807905,4,1,0,80.0,0.4375,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rosenbrock,200,10,103124528.56873003,103140206.49786988,0.015202909877453218,6,4,0,60.0,0.625,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rosenbrock,2000,3,869247612.9724323,869037289.3809952,-0.024196050503709772,0,3,0,0.0,nan,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rosenbrock,3000,2,1239722873.845387,1239385157.2331452,-0.027241298790770203,0,2,0,0.0,nan,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rosenbrock,4000,2,1601610810.9908462,1607755773.5210905,0.3836738918141251,2,0,0,100.0,nan,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rosenbrock,50,20,28590556.089247297,28787769.69336406,0.6897858282334514,16,4,0,80.0,0.0001049041748046875,1
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rosenbrock,500,5,243714058.24041504,243705721.84840137,-0.0034205626355150462,2,3,0,40.0,0.8125,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Rosenbrock,5000,2,1953961917.8469486,2043895340.43962,4.6026190055826754,2,0,0,100.0,nan,0
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Zakharov,100,15,3.726719113127506e+17,3.73584180255514e+17,0.24479144123040852,14,1,0,93.33333333333333,0.0001220703125,1
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Zakharov,200,10,8.905104024024446e+19,8.921407920290211e+19,0.18308484911327888,9,1,0,90.0,0.00390625,1
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Zakharov,50,20,1544460382804846.5,1552340893079979.5,0.5102436011224484,20,0,0,100.0,1.9073486328125e-06,1
best1bin,SMCO_vs_SMCO_EVO,SMCO,SMCO_EVO,Zakharov,500,5,1.2530257290868337e+23,1.2552496853334794e+23,0.1774868779643084,5,0,0,100.0,0.0625,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Ackley,100,15,22.038464384055786,22.178202246899527,0.6340635191662356,15,0,0,100.0,6.103515625e-05,1
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Ackley,1000,5,21.949291370787886,22.167871895335647,0.9958431953692494,5,0,0,100.0,0.0625,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Ackley,200,10,21.953281028416214,22.160184130811867,0.942470066901795,10,0,0,100.0,0.001953125,1
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Ackley,2000,3,21.90054567102072,22.15840880027198,1.1774278738290649,3,0,0,100.0,nan,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Ackley,3000,2,21.563667434577347,22.155912042043262,2.7464929574838948,2,0,0,100.0,nan,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Ackley,4000,2,21.696596470859426,22.118838400144877,1.946120580951775,2,0,0,100.0,nan,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Ackley,50,20,22.073093951668508,22.198633243846,0.5687435230075808,20,0,0,100.0,1.9073486328125e-06,1
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Ackley,500,5,21.94761009790387,22.162918151906574,0.9810091077901373,5,0,0,100.0,0.0625,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Ackley,5000,2,21.72570270016472,22.131356276340014,1.867159749784377,2,0,0,100.0,nan,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Griewank,100,15,8565.920689918476,8568.602155483679,0.031303880368157434,10,5,0,66.66666666666666,0.05535888671875,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Griewank,200,10,16732.057540605165,16723.826077770987,-0.049195759781493376,2,8,0,20.0,0.064453125,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Griewank,50,20,4332.10767341113,4331.015265778967,-0.025216539257975477,6,14,0,30.0,0.082550048828125,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Rastrigin,100,15,3268.939245656806,3269.6019230890042,0.020271940908002547,5,10,0,33.33333333333333,0.846923828125,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Rastrigin,1000,5,29138.03230207167,29138.02210024288,-3.501207180011239e-05,2,3,0,40.0,1.0,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Rastrigin,200,10,6344.19993499377,6344.197927569635,-3.164188006819824e-05,4,6,0,40.0,0.845703125,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Rastrigin,2000,3,57929.57599256033,57943.735655981036,0.024442891524922322,3,0,0,100.0,nan,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Rastrigin,3000,2,86068.11548491748,86094.5555976759,0.030719985687453804,2,0,0,100.0,nan,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Rastrigin,4000,2,114374.76422763668,114380.51305935602,0.00502631131802202,2,0,0,100.0,nan,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Rastrigin,50,20,1711.4007428417149,1712.2078616511637,0.04716129830051823,11,9,0,55.00000000000001,0.6215133666992188,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Rastrigin,500,5,14794.53924205436,14794.53721475739,-1.3703008491810832e-05,3,2,0,60.0,1.0,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Rastrigin,5000,2,142512.25069086358,142540.83638789976,0.02005841385396837,2,0,0,100.0,nan,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Rosenbrock,100,15,52616803.95826252,52844982.57099104,0.433661103607738,14,1,0,93.33333333333333,0.0001220703125,1
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Rosenbrock,1000,5,422712947.9742657,431293381.85747737,2.029848842892326,4,1,0,80.0,0.125,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Rosenbrock,200,10,98101461.91474606,99538918.13996622,1.4652750297129755,7,3,0,70.0,0.048828125,1
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Rosenbrock,2000,3,775822748.1332974,794743124.1546808,2.4387498390460465,3,0,0,100.0,nan,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Rosenbrock,3000,2,1094303115.940483,1135294516.5534573,3.745890879397222,2,0,0,100.0,nan,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Rosenbrock,4000,2,1399385030.0219135,1449626148.1335459,3.590228352724739,2,0,0,100.0,nan,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Rosenbrock,50,20,27764812.00991679,28090671.579043888,1.1736422670922824,17,3,0,85.0,0.000133514404296875,1
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Rosenbrock,500,5,226905423.53129023,227239253.18552732,0.14712281841560143,5,0,0,100.0,0.0625,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Rosenbrock,5000,2,1699574361.5793362,1768504356.366383,4.055721029057737,2,0,0,100.0,nan,0
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Zakharov,100,15,3.507362018341597e+17,3.526370052594049e+17,0.5419467438220176,15,0,0,100.0,6.103515625e-05,1
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Zakharov,200,10,8.126408086905999e+19,8.181832060656183e+19,0.6820230187490639,10,0,0,100.0,0.001953125,1
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Zakharov,50,20,1472185536847872.8,1481389278501526.8,0.6251753887869544,20,0,0,100.0,1.9073486328125e-06,1
best1bin,SMCO_R_vs_SMCO_R_EVO,SMCO_R,SMCO_R_EVO,Zakharov,500,5,1.0966824087560668e+23,1.0992078040645922e+23,0.2302759019714715,4,1,0,80.0,0.125,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Ackley,100,15,22.034128689829085,22.20076069701455,0.7562450484478807,15,0,0,100.0,6.103515625e-05,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Ackley,1000,5,21.941297712620617,22.178927202078803,1.0830238601680418,5,0,0,100.0,0.0625,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Ackley,200,10,21.972329805821822,22.201450691782878,1.042770102150694,10,0,0,100.0,0.001953125,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Ackley,2000,3,21.921569244123116,22.174916810804092,1.1556999586099195,3,0,0,100.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Ackley,3000,2,21.90992625267647,22.169782121666714,1.186018912128925,2,0,0,100.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Ackley,4000,2,21.90941466516003,22.16507421915107,1.1668935838691596,2,0,0,100.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Ackley,50,20,22.069994570511763,22.210129268347746,0.6349557422330306,20,0,0,100.0,1.9073486328125e-06,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Ackley,500,5,21.947773314504367,22.176199579191717,1.0407719335081371,5,0,0,100.0,0.0625,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Ackley,5000,2,21.912597619812423,22.170896217000973,1.1787675823290196,2,0,0,100.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Griewank,100,15,8146.543018494601,8155.948591811584,0.11545477996777974,11,4,0,73.33333333333333,0.041259765625,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Griewank,200,10,15582.821648537065,15606.131335277043,0.149585789183222,7,3,0,70.0,0.375,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Griewank,50,20,4161.670565996322,4160.607519261439,-0.02554375023262679,10,10,0,50.0,0.40909767150878906,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rastrigin,100,15,3259.3106226103496,3261.2838911405443,0.06054251216517381,9,6,0,60.0,0.30279541015625,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rastrigin,1000,5,29126.310254371823,29125.55358527581,-0.0025978886079415834,3,2,0,60.0,0.8125,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rastrigin,200,10,6336.63125564698,6336.711421792165,0.0012651224594087279,7,3,0,70.0,0.76953125,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rastrigin,2000,3,57911.78566871155,57911.57064659148,-0.00037129250564273234,1,2,0,33.33333333333333,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rastrigin,3000,2,86027.36301720096,86031.64588793849,0.004978498221169264,2,0,0,100.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rastrigin,4000,2,114314.06385418148,114319.86604742098,0.00507566002280574,1,1,0,50.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rastrigin,50,20,1713.6892572955308,1713.201467752166,-0.02846429370366002,11,9,0,55.00000000000001,0.7285060882568359,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rastrigin,500,5,14784.424196097865,14784.72336393406,0.0020235339045064893,2,3,0,40.0,0.8125,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rastrigin,5000,2,142460.14573842997,142458.4895438425,-0.0011625669613674905,1,1,0,50.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rosenbrock,100,15,47986687.78786815,48362434.75989135,0.7830233536522586,13,2,0,86.66666666666667,0.0006103515625,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rosenbrock,1000,5,348193067.76848793,372046389.76400423,6.8506022099717025,5,0,0,100.0,0.0625,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rosenbrock,200,10,87336134.89183861,90204671.6443634,3.28447870526596,10,0,0,100.0,0.001953125,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rosenbrock,2000,3,618155929.2741712,685824638.2370745,10.946867247938359,3,0,0,100.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rosenbrock,3000,2,859724697.6735848,955288955.6197197,11.115681357617365,2,0,0,100.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rosenbrock,4000,2,1091605069.4387069,1273971153.476194,16.706232789048695,2,0,0,100.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rosenbrock,50,20,25826421.53841371,26589262.67881824,2.9537237254100224,20,0,0,100.0,1.9073486328125e-06,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rosenbrock,500,5,194451615.14885083,203191321.91407928,4.49454058714724,5,0,0,100.0,0.0625,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Rosenbrock,5000,2,1318276891.8457017,1530155403.464967,16.07238304258046,2,0,0,100.0,nan,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Zakharov,100,15,3.007640369869115e+17,3.0560302856305363e+17,1.6088996625459995,15,0,0,100.0,6.103515625e-05,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Zakharov,200,10,6.463198018702149e+19,6.5499903812275495e+19,1.3428702365957947,10,0,0,100.0,0.001953125,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Zakharov,50,20,1302651618260598.8,1326654041450706.8,1.8425819193437072,20,0,0,100.0,1.9073486328125e-06,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,SMCO_BR,SMCO_BR_EVO,Zakharov,500,5,7.947977905345289e+22,7.997779138805418e+22,0.6265899836817133,5,0,0,100.0,0.0625,0
