strategy,algo_a,algo_b,a_wins,b_wins,total,a_win_rate,b_win_rate
best1bin,ADAM,BOBYQA,95,130,225,42.22222222222222,57.77777777777777
best1bin,ADAM,DEoptim,141,84,225,62.66666666666667,37.333333333333336
best1bin,ADAM,GA,82,143,225,36.44444444444444,63.55555555555556
best1bin,ADAM,GD,73,152,225,32.44444444444444,67.55555555555556
best1bin,ADAM,GenSA,0,225,225,0.0,100.0
best1bin,ADAM,PSO,40,185,225,17.77777777777778,82.22222222222221
best1bin,ADAM,SA,8,217,225,3.5555555555555554,96.44444444444444
best1bin,ADAM,SMCO,45,180,225,20.0,80.0
best1bin,ADAM,SMCO_BR,26,199,225,11.555555555555555,88.44444444444444
best1bin,ADAM,SMCO_BR_EVO,5,220,225,2.2222222222222223,97.77777777777777
best1bin,ADAM,SMCO_EVO,0,225,225,0.0,100.0
best1bin,ADAM,SMCO_R,15,210,225,6.666666666666667,93.33333333333333
best1bin,ADAM,SMCO_R_EVO,0,225,225,0.0,100.0
best1bin,ADAM,SPSA,138,87,225,61.33333333333333,38.666666666666664
best1bin,ADAM,SignGD,90,135,225,40.0,60.0
best1bin,ADAM,optimLBFGS,80,145,225,35.55555555555556,64.44444444444444
best1bin,ADAM,optimNM,205,20,225,91.11111111111111,8.88888888888889
best1bin,BOBYQA,DEoptim,218,7,225,96.88888888888889,3.111111111111111
best1bin,BOBYQA,GA,179,46,225,79.55555555555556,20.444444444444446
best1bin,BOBYQA,GD,89,123,225,39.55555555555556,54.666666666666664
best1bin,BOBYQA,GenSA,50,162,225,22.22222222222222,72.0
best1bin,BOBYQA,PSO,106,119,225,47.11111111111111,52.888888888888886
best1bin,BOBYQA,SA,85,127,225,37.77777777777778,56.44444444444444
best1bin,BOBYQA,SMCO,146,79,225,64.88888888888889,35.11111111111111
best1bin,BOBYQA,SMCO_BR,130,95,225,57.77777777777777,42.22222222222222
best1bin,BOBYQA,SMCO_BR_EVO,123,102,225,54.666666666666664,45.33333333333333
best1bin,BOBYQA,SMCO_EVO,100,125,225,44.44444444444444,55.55555555555556
best1bin,BOBYQA,SMCO_R,115,110,225,51.11111111111111,48.888888888888886
best1bin,BOBYQA,SMCO_R_EVO,111,114,225,49.333333333333336,50.66666666666667
best1bin,BOBYQA,SPSA,140,85,225,62.22222222222222,37.77777777777778
best1bin,BOBYQA,SignGD,90,122,225,40.0,54.22222222222223
best1bin,BOBYQA,optimLBFGS,91,121,225,40.44444444444444,53.77777777777778
best1bin,BOBYQA,optimNM,225,0,225,100.0,0.0
best1bin,DEoptim,GA,5,282,287,1.7421602787456445,98.25783972125436
best1bin,DEoptim,GD,33,192,225,14.666666666666666,85.33333333333334
best1bin,DEoptim,GenSA,0,287,287,0.0,100.0
best1bin,DEoptim,PSO,35,252,287,12.195121951219512,87.8048780487805
best1bin,DEoptim,SA,0,287,287,0.0,100.0
best1bin,DEoptim,SMCO,55,232,287,19.16376306620209,80.8362369337979
best1bin,DEoptim,SMCO_BR,0,287,287,0.0,100.0
best1bin,DEoptim,SMCO_BR_EVO,0,287,287,0.0,100.0
best1bin,DEoptim,SMCO_EVO,0,287,287,0.0,100.0
best1bin,DEoptim,SMCO_R,0,287,287,0.0,100.0
best1bin,DEoptim,SMCO_R_EVO,0,287,287,0.0,100.0
best1bin,DEoptim,SPSA,135,90,225,60.0,40.0
best1bin,DEoptim,SignGD,45,180,225,20.0,80.0
best1bin,DEoptim,optimLBFGS,0,225,225,0.0,100.0
best1bin,DEoptim,optimNM,211,14,225,93.77777777777779,6.222222222222222
best1bin,GA,GD,77,148,225,34.22222222222222,65.77777777777779
best1bin,GA,GenSA,0,287,287,0.0,100.0
best1bin,GA,PSO,75,212,287,26.132404181184672,73.86759581881533
best1bin,GA,SA,5,282,287,1.7421602787456445,98.25783972125436
best1bin,GA,SMCO,65,222,287,22.64808362369338,77.35191637630662
best1bin,GA,SMCO_BR,85,202,287,29.61672473867596,70.38327526132404
best1bin,GA,SMCO_BR_EVO,78,209,287,27.177700348432055,72.82229965156795
best1bin,GA,SMCO_EVO,7,280,287,2.4390243902439024,97.5609756097561
best1bin,GA,SMCO_R,29,258,287,10.104529616724738,89.89547038327527
best1bin,GA,SMCO_R_EVO,28,259,287,9.75609756097561,90.2439024390244
best1bin,GA,SPSA,155,70,225,68.88888888888889,31.11111111111111
best1bin,GA,SignGD,81,144,225,36.0,64.0
best1bin,GA,optimLBFGS,57,168,225,25.333333333333336,74.66666666666667
best1bin,GA,optimNM,218,7,225,96.88888888888889,3.111111111111111
best1bin,GD,GenSA,0,180,225,0.0,80.0
best1bin,GD,PSO,74,151,225,32.88888888888889,67.11111111111111
best1bin,GD,SA,49,129,225,21.777777777777775,57.333333333333336
best1bin,GD,SMCO,134,91,225,59.55555555555555,40.44444444444444
best1bin,GD,SMCO_BR,106,119,225,47.11111111111111,52.888888888888886
best1bin,GD,SMCO_BR_EVO,89,136,225,39.55555555555556,60.44444444444444
best1bin,GD,SMCO_EVO,88,137,225,39.111111111111114,60.88888888888889
best1bin,GD,SMCO_R,105,120,225,46.666666666666664,53.333333333333336
best1bin,GD,SMCO_R_EVO,89,136,225,39.55555555555556,60.44444444444444
best1bin,GD,SPSA,142,83,225,63.11111111111111,36.888888888888886
best1bin,GD,SignGD,144,36,225,64.0,16.0
best1bin,GD,optimLBFGS,66,72,225,29.333333333333332,32.0
best1bin,GD,optimNM,225,0,225,100.0,0.0
best1bin,GenSA,PSO,242,0,287,84.3205574912892,0.0
best1bin,GenSA,SA,153,39,287,53.31010452961672,13.588850174216027
best1bin,GenSA,SMCO,287,0,287,100.0,0.0
best1bin,GenSA,SMCO_BR,282,5,287,98.25783972125436,1.7421602787456445
best1bin,GenSA,SMCO_BR_EVO,270,17,287,94.07665505226481,5.923344947735192
best1bin,GenSA,SMCO_EVO,277,10,287,96.51567944250871,3.484320557491289
best1bin,GenSA,SMCO_R,286,1,287,99.65156794425087,0.34843205574912894
best1bin,GenSA,SMCO_R_EVO,274,13,287,95.47038327526133,4.529616724738676
best1bin,GenSA,SPSA,225,0,225,100.0,0.0
best1bin,GenSA,SignGD,180,0,225,80.0,0.0
best1bin,GenSA,optimLBFGS,160,0,225,71.11111111111111,0.0
best1bin,GenSA,optimNM,225,0,225,100.0,0.0
best1bin,PSO,SA,69,173,287,24.041811846689896,60.278745644599304
best1bin,PSO,SMCO,179,108,287,62.36933797909408,37.63066202090592
best1bin,PSO,SMCO_BR,147,140,287,51.21951219512195,48.78048780487805
best1bin,PSO,SMCO_BR_EVO,121,166,287,42.1602787456446,57.8397212543554
best1bin,PSO,SMCO_EVO,114,173,287,39.721254355400696,60.278745644599304
best1bin,PSO,SMCO_R,149,138,287,51.91637630662021,48.08362369337979
best1bin,PSO,SMCO_R_EVO,117,170,287,40.76655052264808,59.23344947735192
best1bin,PSO,SPSA,152,73,225,67.55555555555556,32.44444444444444
best1bin,PSO,SignGD,149,76,225,66.22222222222223,33.77777777777778
best1bin,PSO,optimLBFGS,129,76,225,57.333333333333336,33.77777777777778
best1bin,PSO,optimNM,225,0,225,100.0,0.0
best1bin,SA,SMCO,258,29,287,89.89547038327527,10.104529616724738
best1bin,SA,SMCO_BR,256,31,287,89.19860627177701,10.801393728222997
best1bin,SA,SMCO_BR_EVO,212,75,287,73.86759581881533,26.132404181184672
best1bin,SA,SMCO_EVO,197,90,287,68.6411149825784,31.3588850174216
best1bin,SA,SMCO_R,249,38,287,86.7595818815331,13.240418118466899
best1bin,SA,SMCO_R_EVO,202,85,287,70.38327526132404,29.61672473867596
best1bin,SA,SPSA,180,45,225,80.0,20.0
best1bin,SA,SignGD,156,22,225,69.33333333333334,9.777777777777779
best1bin,SA,optimLBFGS,108,49,225,48.0,21.777777777777775
best1bin,SA,optimNM,225,0,225,100.0,0.0
best1bin,SMCO,SMCO_BR,190,97,287,66.2020905923345,33.79790940766551
best1bin,SMCO,SMCO_BR_EVO,188,99,287,65.50522648083623,34.494773519163765
best1bin,SMCO,SMCO_EVO,94,193,287,32.752613240418114,67.24738675958189
best1bin,SMCO,SMCO_R,176,111,287,61.32404181184668,38.67595818815331
best1bin,SMCO,SMCO_R_EVO,170,117,287,59.23344947735192,40.76655052264808
best1bin,SMCO,SPSA,137,88,225,60.88888888888889,39.111111111111114
best1bin,SMCO,SignGD,121,104,225,53.77777777777778,46.22222222222222
best1bin,SMCO,optimLBFGS,71,154,225,31.555555555555554,68.44444444444444
best1bin,SMCO,optimNM,186,39,225,82.66666666666667,17.333333333333336
best1bin,SMCO_BR,SMCO_BR_EVO,61,226,287,21.254355400696863,78.74564459930313
best1bin,SMCO_BR,SMCO_EVO,30,257,287,10.452961672473867,89.54703832752612
best1bin,SMCO_BR,SMCO_R,44,243,287,15.33101045296167,84.66898954703834
best1bin,SMCO_BR,SMCO_R_EVO,10,277,287,3.484320557491289,96.51567944250871
best1bin,SMCO_BR,SPSA,166,59,225,73.77777777777777,26.222222222222225
best1bin,SMCO_BR,SignGD,126,99,225,56.00000000000001,44.0
best1bin,SMCO_BR,optimLBFGS,99,126,225,44.0,56.00000000000001
best1bin,SMCO_BR,optimNM,225,0,225,100.0,0.0
best1bin,SMCO_BR_EVO,SMCO_EVO,102,185,287,35.54006968641115,64.45993031358886
best1bin,SMCO_BR_EVO,SMCO_R,83,204,287,28.9198606271777,71.0801393728223
best1bin,SMCO_BR_EVO,SMCO_R_EVO,66,221,287,22.99651567944251,77.00348432055749
best1bin,SMCO_BR_EVO,SPSA,166,59,225,73.77777777777777,26.222222222222225
best1bin,SMCO_BR_EVO,SignGD,144,81,225,64.0,36.0
best1bin,SMCO_BR_EVO,optimLBFGS,116,109,225,51.55555555555556,48.44444444444444
best1bin,SMCO_BR_EVO,optimNM,225,0,225,100.0,0.0
best1bin,SMCO_EVO,SMCO_R,236,51,287,82.22996515679442,17.770034843205575
best1bin,SMCO_EVO,SMCO_R_EVO,177,110,287,61.672473867595826,38.32752613240418
best1bin,SMCO_EVO,SPSA,165,60,225,73.33333333333333,26.666666666666668
best1bin,SMCO_EVO,SignGD,168,57,225,74.66666666666667,25.333333333333336
best1bin,SMCO_EVO,optimLBFGS,117,108,225,52.0,48.0
best1bin,SMCO_EVO,optimNM,225,0,225,100.0,0.0
best1bin,SMCO_R,SMCO_R_EVO,78,209,287,27.177700348432055,72.82229965156795
best1bin,SMCO_R,SPSA,165,60,225,73.33333333333333,26.666666666666668
best1bin,SMCO_R,SignGD,138,87,225,61.33333333333333,38.666666666666664
best1bin,SMCO_R,optimLBFGS,100,125,225,44.44444444444444,55.55555555555556
best1bin,SMCO_R,optimNM,225,0,225,100.0,0.0
best1bin,SMCO_R_EVO,SPSA,165,60,225,73.33333333333333,26.666666666666668
best1bin,SMCO_R_EVO,SignGD,159,66,225,70.66666666666667,29.333333333333332
best1bin,SMCO_R_EVO,optimLBFGS,116,109,225,51.55555555555556,48.44444444444444
best1bin,SMCO_R_EVO,optimNM,225,0,225,100.0,0.0
best1bin,SPSA,SignGD,80,145,225,35.55555555555556,64.44444444444444
best1bin,SPSA,optimLBFGS,82,142,225,36.44444444444444,63.11111111111111
best1bin,SPSA,optimNM,146,79,225,64.88888888888889,35.11111111111111
best1bin,SignGD,optimLBFGS,39,141,225,17.333333333333336,62.66666666666667
best1bin,SignGD,optimNM,221,4,225,98.22222222222223,1.7777777777777777
best1bin,optimLBFGS,optimNM,225,0,225,100.0,0.0
current-to-best1bin,ADAM,BOBYQA,95,130,225,42.22222222222222,57.77777777777777
current-to-best1bin,ADAM,DEoptim,141,84,225,62.66666666666667,37.333333333333336
current-to-best1bin,ADAM,GA,82,143,225,36.44444444444444,63.55555555555556
current-to-best1bin,ADAM,GD,73,152,225,32.44444444444444,67.55555555555556
current-to-best1bin,ADAM,GenSA,0,225,225,0.0,100.0
current-to-best1bin,ADAM,PSO,40,185,225,17.77777777777778,82.22222222222221
current-to-best1bin,ADAM,SA,8,217,225,3.5555555555555554,96.44444444444444
current-to-best1bin,ADAM,SMCO,45,180,225,20.0,80.0
current-to-best1bin,ADAM,SMCO_BR,26,199,225,11.555555555555555,88.44444444444444
current-to-best1bin,ADAM,SMCO_BR_EVO,8,217,225,3.5555555555555554,96.44444444444444
current-to-best1bin,ADAM,SMCO_EVO,0,225,225,0.0,100.0
current-to-best1bin,ADAM,SMCO_R,15,210,225,6.666666666666667,93.33333333333333
current-to-best1bin,ADAM,SMCO_R_EVO,0,225,225,0.0,100.0
current-to-best1bin,ADAM,SPSA,138,87,225,61.33333333333333,38.666666666666664
current-to-best1bin,ADAM,SignGD,90,135,225,40.0,60.0
current-to-best1bin,ADAM,optimLBFGS,80,145,225,35.55555555555556,64.44444444444444
current-to-best1bin,ADAM,optimNM,205,20,225,91.11111111111111,8.88888888888889
current-to-best1bin,BOBYQA,DEoptim,218,7,225,96.88888888888889,3.111111111111111
current-to-best1bin,BOBYQA,GA,179,46,225,79.55555555555556,20.444444444444446
current-to-best1bin,BOBYQA,GD,89,123,225,39.55555555555556,54.666666666666664
current-to-best1bin,BOBYQA,GenSA,50,162,225,22.22222222222222,72.0
current-to-best1bin,BOBYQA,PSO,106,119,225,47.11111111111111,52.888888888888886
current-to-best1bin,BOBYQA,SA,85,127,225,37.77777777777778,56.44444444444444
current-to-best1bin,BOBYQA,SMCO,146,79,225,64.88888888888889,35.11111111111111
current-to-best1bin,BOBYQA,SMCO_BR,130,95,225,57.77777777777777,42.22222222222222
current-to-best1bin,BOBYQA,SMCO_BR_EVO,124,101,225,55.111111111111114,44.888888888888886
current-to-best1bin,BOBYQA,SMCO_EVO,100,125,225,44.44444444444444,55.55555555555556
current-to-best1bin,BOBYQA,SMCO_R,115,110,225,51.11111111111111,48.888888888888886
current-to-best1bin,BOBYQA,SMCO_R_EVO,111,114,225,49.333333333333336,50.66666666666667
current-to-best1bin,BOBYQA,SPSA,140,85,225,62.22222222222222,37.77777777777778
current-to-best1bin,BOBYQA,SignGD,90,122,225,40.0,54.22222222222223
current-to-best1bin,BOBYQA,optimLBFGS,91,121,225,40.44444444444444,53.77777777777778
current-to-best1bin,BOBYQA,optimNM,225,0,225,100.0,0.0
current-to-best1bin,DEoptim,GA,5,282,287,1.7421602787456445,98.25783972125436
current-to-best1bin,DEoptim,GD,33,192,225,14.666666666666666,85.33333333333334
current-to-best1bin,DEoptim,GenSA,0,287,287,0.0,100.0
current-to-best1bin,DEoptim,PSO,35,252,287,12.195121951219512,87.8048780487805
current-to-best1bin,DEoptim,SA,0,287,287,0.0,100.0
current-to-best1bin,DEoptim,SMCO,55,232,287,19.16376306620209,80.8362369337979
current-to-best1bin,DEoptim,SMCO_BR,0,287,287,0.0,100.0
current-to-best1bin,DEoptim,SMCO_BR_EVO,0,287,287,0.0,100.0
current-to-best1bin,DEoptim,SMCO_EVO,0,287,287,0.0,100.0
current-to-best1bin,DEoptim,SMCO_R,0,287,287,0.0,100.0
current-to-best1bin,DEoptim,SMCO_R_EVO,0,287,287,0.0,100.0
current-to-best1bin,DEoptim,SPSA,135,90,225,60.0,40.0
current-to-best1bin,DEoptim,SignGD,45,180,225,20.0,80.0
current-to-best1bin,DEoptim,optimLBFGS,0,225,225,0.0,100.0
current-to-best1bin,DEoptim,optimNM,211,14,225,93.77777777777779,6.222222222222222
current-to-best1bin,GA,GD,77,148,225,34.22222222222222,65.77777777777779
current-to-best1bin,GA,GenSA,0,287,287,0.0,100.0
current-to-best1bin,GA,PSO,75,212,287,26.132404181184672,73.86759581881533
current-to-best1bin,GA,SA,5,282,287,1.7421602787456445,98.25783972125436
current-to-best1bin,GA,SMCO,65,222,287,22.64808362369338,77.35191637630662
current-to-best1bin,GA,SMCO_BR,85,202,287,29.61672473867596,70.38327526132404
current-to-best1bin,GA,SMCO_BR_EVO,83,204,287,28.9198606271777,71.0801393728223
current-to-best1bin,GA,SMCO_EVO,6,281,287,2.0905923344947737,97.90940766550523
current-to-best1bin,GA,SMCO_R,29,258,287,10.104529616724738,89.89547038327527
current-to-best1bin,GA,SMCO_R_EVO,28,259,287,9.75609756097561,90.2439024390244
current-to-best1bin,GA,SPSA,155,70,225,68.88888888888889,31.11111111111111
current-to-best1bin,GA,SignGD,81,144,225,36.0,64.0
current-to-best1bin,GA,optimLBFGS,57,168,225,25.333333333333336,74.66666666666667
current-to-best1bin,GA,optimNM,218,7,225,96.88888888888889,3.111111111111111
current-to-best1bin,GD,GenSA,0,180,225,0.0,80.0
current-to-best1bin,GD,PSO,74,151,225,32.88888888888889,67.11111111111111
current-to-best1bin,GD,SA,49,129,225,21.777777777777775,57.333333333333336
current-to-best1bin,GD,SMCO,134,91,225,59.55555555555555,40.44444444444444
current-to-best1bin,GD,SMCO_BR,106,119,225,47.11111111111111,52.888888888888886
current-to-best1bin,GD,SMCO_BR_EVO,90,135,225,40.0,60.0
current-to-best1bin,GD,SMCO_EVO,89,136,225,39.55555555555556,60.44444444444444
current-to-best1bin,GD,SMCO_R,105,120,225,46.666666666666664,53.333333333333336
current-to-best1bin,GD,SMCO_R_EVO,90,135,225,40.0,60.0
current-to-best1bin,GD,SPSA,142,83,225,63.11111111111111,36.888888888888886
current-to-best1bin,GD,SignGD,144,36,225,64.0,16.0
current-to-best1bin,GD,optimLBFGS,66,72,225,29.333333333333332,32.0
current-to-best1bin,GD,optimNM,225,0,225,100.0,0.0
current-to-best1bin,GenSA,PSO,242,0,287,84.3205574912892,0.0
current-to-best1bin,GenSA,SA,153,39,287,53.31010452961672,13.588850174216027
current-to-best1bin,GenSA,SMCO,287,0,287,100.0,0.0
current-to-best1bin,GenSA,SMCO_BR,282,5,287,98.25783972125436,1.7421602787456445
current-to-best1bin,GenSA,SMCO_BR_EVO,275,12,287,95.81881533101046,4.181184668989547
current-to-best1bin,GenSA,SMCO_EVO,277,10,287,96.51567944250871,3.484320557491289
current-to-best1bin,GenSA,SMCO_R,286,1,287,99.65156794425087,0.34843205574912894
current-to-best1bin,GenSA,SMCO_R_EVO,276,11,287,96.16724738675958,3.8327526132404177
current-to-best1bin,GenSA,SPSA,225,0,225,100.0,0.0
current-to-best1bin,GenSA,SignGD,180,0,225,80.0,0.0
current-to-best1bin,GenSA,optimLBFGS,160,0,225,71.11111111111111,0.0
current-to-best1bin,GenSA,optimNM,225,0,225,100.0,0.0
current-to-best1bin,PSO,SA,69,173,287,24.041811846689896,60.278745644599304
current-to-best1bin,PSO,SMCO,179,108,287,62.36933797909408,37.63066202090592
current-to-best1bin,PSO,SMCO_BR,147,140,287,51.21951219512195,48.78048780487805
current-to-best1bin,PSO,SMCO_BR_EVO,122,165,287,42.508710801393725,57.491289198606275
current-to-best1bin,PSO,SMCO_EVO,117,170,287,40.76655052264808,59.23344947735192
current-to-best1bin,PSO,SMCO_R,149,138,287,51.91637630662021,48.08362369337979
current-to-best1bin,PSO,SMCO_R_EVO,118,169,287,41.11498257839721,58.88501742160279
current-to-best1bin,PSO,SPSA,152,73,225,67.55555555555556,32.44444444444444
current-to-best1bin,PSO,SignGD,149,76,225,66.22222222222223,33.77777777777778
current-to-best1bin,PSO,optimLBFGS,129,76,225,57.333333333333336,33.77777777777778
current-to-best1bin,PSO,optimNM,225,0,225,100.0,0.0
current-to-best1bin,SA,SMCO,258,29,287,89.89547038327527,10.104529616724738
current-to-best1bin,SA,SMCO_BR,256,31,287,89.19860627177701,10.801393728222997
current-to-best1bin,SA,SMCO_BR_EVO,217,70,287,75.60975609756098,24.390243902439025
current-to-best1bin,SA,SMCO_EVO,199,88,287,69.33797909407666,30.66202090592334
current-to-best1bin,SA,SMCO_R,249,38,287,86.7595818815331,13.240418118466899
current-to-best1bin,SA,SMCO_R_EVO,204,83,287,71.0801393728223,28.9198606271777
current-to-best1bin,SA,SPSA,180,45,225,80.0,20.0
current-to-best1bin,SA,SignGD,156,22,225,69.33333333333334,9.777777777777779
current-to-best1bin,SA,optimLBFGS,108,49,225,48.0,21.777777777777775
current-to-best1bin,SA,optimNM,225,0,225,100.0,0.0
current-to-best1bin,SMCO,SMCO_BR,190,97,287,66.2020905923345,33.79790940766551
current-to-best1bin,SMCO,SMCO_BR_EVO,189,98,287,65.85365853658537,34.146341463414636
current-to-best1bin,SMCO,SMCO_EVO,105,182,287,36.58536585365854,63.41463414634146
current-to-best1bin,SMCO,SMCO_R,176,111,287,61.32404181184668,38.67595818815331
current-to-best1bin,SMCO,SMCO_R_EVO,174,113,287,60.62717770034843,39.37282229965157
current-to-best1bin,SMCO,SPSA,137,88,225,60.88888888888889,39.111111111111114
current-to-best1bin,SMCO,SignGD,121,104,225,53.77777777777778,46.22222222222222
current-to-best1bin,SMCO,optimLBFGS,71,154,225,31.555555555555554,68.44444444444444
current-to-best1bin,SMCO,optimNM,186,39,225,82.66666666666667,17.333333333333336
current-to-best1bin,SMCO_BR,SMCO_BR_EVO,81,206,287,28.222996515679444,71.77700348432056
current-to-best1bin,SMCO_BR,SMCO_EVO,30,257,287,10.452961672473867,89.54703832752612
current-to-best1bin,SMCO_BR,SMCO_R,44,243,287,15.33101045296167,84.66898954703834
current-to-best1bin,SMCO_BR,SMCO_R_EVO,10,277,287,3.484320557491289,96.51567944250871
current-to-best1bin,SMCO_BR,SPSA,166,59,225,73.77777777777777,26.222222222222225
current-to-best1bin,SMCO_BR,SignGD,126,99,225,56.00000000000001,44.0
current-to-best1bin,SMCO_BR,optimLBFGS,99,126,225,44.0,56.00000000000001
current-to-best1bin,SMCO_BR,optimNM,225,0,225,100.0,0.0
current-to-best1bin,SMCO_BR_EVO,SMCO_EVO,95,192,287,33.10104529616725,66.89895470383276
current-to-best1bin,SMCO_BR_EVO,SMCO_R,78,209,287,27.177700348432055,72.82229965156795
current-to-best1bin,SMCO_BR_EVO,SMCO_R_EVO,51,236,287,17.770034843205575,82.22996515679442
current-to-best1bin,SMCO_BR_EVO,SPSA,166,59,225,73.77777777777777,26.222222222222225
current-to-best1bin,SMCO_BR_EVO,SignGD,140,85,225,62.22222222222222,37.77777777777778
current-to-best1bin,SMCO_BR_EVO,optimLBFGS,115,110,225,51.11111111111111,48.888888888888886
current-to-best1bin,SMCO_BR_EVO,optimNM,225,0,225,100.0,0.0
current-to-best1bin,SMCO_EVO,SMCO_R,236,51,287,82.22996515679442,17.770034843205575
current-to-best1bin,SMCO_EVO,SMCO_R_EVO,177,110,287,61.672473867595826,38.32752613240418
current-to-best1bin,SMCO_EVO,SPSA,165,60,225,73.33333333333333,26.666666666666668
current-to-best1bin,SMCO_EVO,SignGD,166,59,225,73.77777777777777,26.222222222222225
current-to-best1bin,SMCO_EVO,optimLBFGS,116,109,225,51.55555555555556,48.44444444444444
current-to-best1bin,SMCO_EVO,optimNM,225,0,225,100.0,0.0
current-to-best1bin,SMCO_R,SMCO_R_EVO,88,199,287,30.66202090592334,69.33797909407666
