strategy,func,dim,algo,fopt_mean,rank,n_methods
best1bin,Ackley,1000,SMCO_BR_EVO,22.178927202078803,1,11
best1bin,Ackley,1000,SMCO_R_EVO,22.167871895335647,2,11
best1bin,Ackley,1000,GenSA,22.1311893631594,3,11
best1bin,Ackley,1000,SMCO_EVO,22.099389528701984,4,11
best1bin,Ackley,1000,SA,21.962780464187713,5,11
best1bin,Ackley,1000,SMCO_R,21.949291370787886,6,11
best1bin,Ackley,1000,SMCO_BR,21.941297712620617,7,11
best1bin,Ackley,1000,PSO,21.78589313424506,8,11
best1bin,Ackley,1000,GA,21.469110045827815,9,11
best1bin,Ackley,1000,DEoptim,21.402380589659607,10,11
best1bin,Ackley,1000,SMCO,21.356747941768013,11,11
best1bin,Ackley,2000,SMCO_BR_EVO,22.174916810804092,1,11
best1bin,Ackley,2000,SMCO_R_EVO,22.15840880027198,2,11
best1bin,Ackley,2000,SMCO_EVO,22.10455869910525,3,11
best1bin,Ackley,2000,GenSA,21.940011709686967,4,11
best1bin,Ackley,2000,SMCO_BR,21.921569244123116,5,11
best1bin,Ackley,2000,SMCO_R,21.90054567102072,6,11
best1bin,Ackley,2000,SA,21.892474502729865,7,11
best1bin,Ackley,2000,PSO,21.77345900855943,8,11
best1bin,Ackley,2000,GA,21.423978267424815,9,11
best1bin,Ackley,2000,SMCO,21.412231167680464,10,11
best1bin,Ackley,2000,DEoptim,21.363056928357512,11,11
best1bin,Ackley,3000,SMCO_BR_EVO,22.169782121666714,1,11
best1bin,Ackley,3000,SMCO_R_EVO,22.155912042043262,2,11
best1bin,Ackley,3000,SMCO_EVO,22.079895295901025,3,11
best1bin,Ackley,3000,SMCO_BR,21.90992625267647,4,11
best1bin,Ackley,3000,GenSA,21.905400336903423,5,11
best1bin,Ackley,3000,SA,21.864929046117897,6,11
best1bin,Ackley,3000,PSO,21.74146523673044,7,11
best1bin,Ackley,3000,SMCO_R,21.563667434577347,8,11
best1bin,Ackley,3000,SMCO,21.532214189963604,9,11
best1bin,Ackley,3000,GA,21.404660691573028,10,11
best1bin,Ackley,3000,DEoptim,21.34290122913012,11,11
best1bin,Ackley,4000,SMCO_BR_EVO,22.16507421915107,1,11
best1bin,Ackley,4000,SMCO_R_EVO,22.118838400144877,2,11
best1bin,Ackley,4000,SMCO_EVO,22.089218252554286,3,11
best1bin,Ackley,4000,SMCO_BR,21.90941466516003,4,11
best1bin,Ackley,4000,GenSA,21.864770869740198,5,11
best1bin,Ackley,4000,SA,21.842683492138292,6,11
best1bin,Ackley,4000,PSO,21.711805007306616,7,11
best1bin,Ackley,4000,SMCO_R,21.696596470859426,8,11
best1bin,Ackley,4000,SMCO,21.664995317854874,9,11
best1bin,Ackley,4000,GA,21.397228574401577,10,11
best1bin,Ackley,4000,DEoptim,21.34122138647738,11,11
best1bin,Ackley,5000,SMCO_BR_EVO,22.170896217000973,1,11
best1bin,Ackley,5000,SMCO_R_EVO,22.131356276340014,2,11
best1bin,Ackley,5000,SMCO_EVO,22.099187971841268,3,11
best1bin,Ackley,5000,SMCO_BR,21.912597619812423,4,11
best1bin,Ackley,5000,GenSA,21.73148729514309,5,11
best1bin,Ackley,5000,SMCO_R,21.72570270016472,6,11
best1bin,Ackley,5000,PSO,21.721434902688344,7,11
best1bin,Ackley,5000,SMCO,21.697044955860562,8,11
best1bin,Ackley,5000,SA,21.665474326389205,9,11
best1bin,Ackley,5000,GA,21.385606465715362,10,11
best1bin,Ackley,5000,DEoptim,21.328332378863344,11,11
best1bin,Rastrigin,1000,SA,40353.2901937765,1,11
best1bin,Rastrigin,1000,GenSA,40353.29019371744,2,11
best1bin,Rastrigin,1000,PSO,29165.330598182743,3,11
best1bin,Rastrigin,1000,SMCO_R,29138.03230207167,4,11
best1bin,Rastrigin,1000,SMCO_R_EVO,29138.02210024288,5,11
best1bin,Rastrigin,1000,SMCO_BR,29126.31025437183,6,11
best1bin,Rastrigin,1000,SMCO_BR_EVO,29125.55358527581,7,11
best1bin,Rastrigin,1000,SMCO,29109.966169755517,8,11
best1bin,Rastrigin,1000,SMCO_EVO,29109.53341967424,9,11
best1bin,Rastrigin,1000,GA,21059.0835568463,10,11
best1bin,Rastrigin,1000,DEoptim,19911.698094201394,11,11
best1bin,Rastrigin,2000,GenSA,80706.5803872955,1,11
best1bin,Rastrigin,2000,PSO,58152.53797892792,2,11
best1bin,Rastrigin,2000,SMCO_R_EVO,57943.735655981036,3,11
best1bin,Rastrigin,2000,SMCO_R,57929.57599256033,4,11
best1bin,Rastrigin,2000,SMCO_BR,57911.78566871155,5,11
best1bin,Rastrigin,2000,SMCO_BR_EVO,57911.57064659148,6,11
best1bin,Rastrigin,2000,SMCO_EVO,57883.29476627168,7,11
best1bin,Rastrigin,2000,SMCO,57881.35493030282,8,11
best1bin,Rastrigin,2000,SA,57849.4274515718,9,11
best1bin,Rastrigin,2000,GA,39985.966625601664,10,11
best1bin,Rastrigin,2000,DEoptim,39049.42474348234,11,11
best1bin,Rastrigin,3000,GenSA,121059.87040453288,1,11
best1bin,Rastrigin,3000,PSO,87035.34159179099,2,11
best1bin,Rastrigin,3000,SA,86781.56655992431,3,11
best1bin,Rastrigin,3000,SMCO_R_EVO,86094.5555976759,4,11
best1bin,Rastrigin,3000,SMCO_R,86068.11548491748,5,11
best1bin,Rastrigin,3000,SMCO_BR_EVO,86031.64588793849,6,11
best1bin,Rastrigin,3000,SMCO_EVO,86028.14017521989,7,11
best1bin,Rastrigin,3000,SMCO_BR,86027.36301720096,8,11
best1bin,Rastrigin,3000,SMCO,86021.13959544411,9,11
best1bin,Rastrigin,3000,GA,59470.21118374476,10,11
best1bin,Rastrigin,3000,DEoptim,57968.501820506805,11,11
best1bin,Rastrigin,4000,GenSA,161412.67179774528,1,11
best1bin,Rastrigin,4000,PSO,115988.19110691891,2,11
best1bin,Rastrigin,4000,SA,115692.09726627979,3,11
best1bin,Rastrigin,4000,SMCO_R_EVO,114380.51305935602,4,11
best1bin,Rastrigin,4000,SMCO_R,114374.76422763668,5,11
best1bin,Rastrigin,4000,SMCO_BR_EVO,114319.86604742098,6,11
best1bin,Rastrigin,4000,SMCO_EVO,114314.91250137634,7,11
best1bin,Rastrigin,4000,SMCO_BR,114314.06385418148,8,11
best1bin,Rastrigin,4000,SMCO,114310.4567734591,9,11
best1bin,Rastrigin,4000,DEoptim,77000.13010232343,10,11
best1bin,Rastrigin,4000,GA,76768.81248488357,11,11
best1bin,Rastrigin,5000,GenSA,201766.21261094167,1,11
best1bin,Rastrigin,5000,PSO,144957.97011654064,2,11
best1bin,Rastrigin,5000,SA,144455.59698672255,3,11
best1bin,Rastrigin,5000,SMCO_R_EVO,142540.83638789976,4,11
best1bin,Rastrigin,5000,SMCO_R,142512.25069086358,5,11
best1bin,Rastrigin,5000,SMCO_BR,142460.14573842997,6,11
best1bin,Rastrigin,5000,SMCO_BR_EVO,142458.4895438425,7,11
best1bin,Rastrigin,5000,SMCO,142458.32504618834,8,11
best1bin,Rastrigin,5000,SMCO_EVO,142432.29777746001,9,11
best1bin,Rastrigin,5000,DEoptim,95772.36984367606,10,11
best1bin,Rastrigin,5000,GA,94743.88053801833,11,11
best1bin,Rosenbrock,1000,GenSA,809563419.0,1,11
best1bin,Rosenbrock,1000,SA,542589309.0,2,11
best1bin,Rosenbrock,1000,PSO,532788129.0,3,11
best1bin,Rosenbrock,1000,SMCO_EVO,463443829.07431805,4,11
best1bin,Rosenbrock,1000,SMCO,463389064.8849098,5,11
best1bin,Rosenbrock,1000,SMCO_R_EVO,431293381.85747737,6,11
best1bin,Rosenbrock,1000,SMCO_R,422712947.97426564,7,11
best1bin,Rosenbrock,1000,SMCO_BR_EVO,372046389.76400423,8,11
best1bin,Rosenbrock,1000,SMCO_BR,348193067.76848793,9,11
best1bin,Rosenbrock,1000,GA,228741053.82543468,10,11
best1bin,Rosenbrock,1000,DEoptim,160936607.22145408,11,11
best1bin,Rosenbrock,2000,GenSA,1619644419.0,1,11
best1bin,Rosenbrock,2000,SA,1082940579.0,2,11
best1bin,Rosenbrock,2000,PSO,1038838524.0,3,11
best1bin,Rosenbrock,2000,SMCO,869247612.9724323,4,11
best1bin,Rosenbrock,2000,SMCO_EVO,869037289.3809952,5,11
best1bin,Rosenbrock,2000,SMCO_R_EVO,794743124.1546808,6,11
best1bin,Rosenbrock,2000,SMCO_R,775822748.1332974,7,11
best1bin,Rosenbrock,2000,SMCO_BR_EVO,685824638.2370745,8,11
best1bin,Rosenbrock,2000,SMCO_BR,618155929.2741712,9,11
best1bin,Rosenbrock,2000,GA,378960173.9105427,10,11
best1bin,Rosenbrock,2000,DEoptim,298880966.55981404,11,11
best1bin,Rosenbrock,3000,GenSA,2429725419.0,1,11
best1bin,Rosenbrock,3000,SA,1590726046.5,2,11
best1bin,Rosenbrock,3000,PSO,1567742184.0,3,11
best1bin,Rosenbrock,3000,SMCO,1239722873.845387,4,11
best1bin,Rosenbrock,3000,SMCO_EVO,1239385157.2331452,5,11
best1bin,Rosenbrock,3000,SMCO_R_EVO,1135294516.5534573,6,11
best1bin,Rosenbrock,3000,SMCO_R,1094303115.940483,7,11
best1bin,Rosenbrock,3000,SMCO_BR_EVO,955288955.6197197,8,11
best1bin,Rosenbrock,3000,SMCO_BR,859724697.6735848,9,11
best1bin,Rosenbrock,3000,GA,558462340.9012433,10,11
best1bin,Rosenbrock,3000,DEoptim,435025937.7010499,11,11
best1bin,Rosenbrock,4000,GenSA,3239806419.0,1,11
best1bin,Rosenbrock,4000,SA,2174326321.5,2,11
best1bin,Rosenbrock,4000,PSO,2080429884.0,3,11
best1bin,Rosenbrock,4000,SMCO_EVO,1607755773.5210905,4,11
best1bin,Rosenbrock,4000,SMCO,1601610810.9908462,5,11
best1bin,Rosenbrock,4000,SMCO_R_EVO,1449626148.1335459,6,11
best1bin,Rosenbrock,4000,SMCO_R,1399385030.0219135,7,11
best1bin,Rosenbrock,4000,SMCO_BR_EVO,1273971153.476194,8,11
best1bin,Rosenbrock,4000,SMCO_BR,1091605069.4387069,9,11
best1bin,Rosenbrock,4000,GA,681387818.6390367,10,11
best1bin,Rosenbrock,4000,DEoptim,570759716.329524,11,11
best1bin,Rosenbrock,5000,GenSA,4049887419.0,1,11
best1bin,Rosenbrock,5000,SA,2720911801.5,2,11
best1bin,Rosenbrock,5000,PSO,2607259441.5,3,11
best1bin,Rosenbrock,5000,SMCO_EVO,2043895340.43962,4,11
best1bin,Rosenbrock,5000,SMCO,1953961917.8469486,5,11
best1bin,Rosenbrock,5000,SMCO_R_EVO,1768504356.366383,6,11
best1bin,Rosenbrock,5000,SMCO_R,1699574361.5793362,7,11
best1bin,Rosenbrock,5000,SMCO_BR_EVO,1530155403.464967,8,11
best1bin,Rosenbrock,5000,SMCO_BR,1318276891.8457017,9,11
best1bin,Rosenbrock,5000,GA,863871393.4097354,10,11
best1bin,Rosenbrock,5000,DEoptim,703836218.4663241,11,11
current-to-best1bin,Ackley,1000,SMCO_R_EVO,22.161197404367336,1,11
current-to-best1bin,Ackley,1000,SMCO_BR_EVO,22.15998727312036,2,11
current-to-best1bin,Ackley,1000,GenSA,22.1311893631594,3,11
current-to-best1bin,Ackley,1000,SMCO_EVO,22.0873450658542,4,11
current-to-best1bin,Ackley,1000,SA,21.962780464187713,5,11
current-to-best1bin,Ackley,1000,SMCO_R,21.949291370787886,6,11
current-to-best1bin,Ackley,1000,SMCO_BR,21.941297712620617,7,11
current-to-best1bin,Ackley,1000,PSO,21.78589313424506,8,11
current-to-best1bin,Ackley,1000,GA,21.469110045827815,9,11
current-to-best1bin,Ackley,1000,DEoptim,21.402380589659607,10,11
current-to-best1bin,Ackley,1000,SMCO,21.356747941768013,11,11
current-to-best1bin,Ackley,2000,SMCO_BR_EVO,22.15386391177425,1,11
current-to-best1bin,Ackley,2000,SMCO_R_EVO,22.136668196331595,2,11
current-to-best1bin,Ackley,2000,SMCO_EVO,22.08847638848768,3,11
current-to-best1bin,Ackley,2000,GenSA,21.940011709686967,4,11
current-to-best1bin,Ackley,2000,SMCO_BR,21.92156924412311,5,11
current-to-best1bin,Ackley,2000,SMCO_R,21.90054567102072,6,11
current-to-best1bin,Ackley,2000,SA,21.892474502729865,7,11
current-to-best1bin,Ackley,2000,PSO,21.77345900855943,8,11
current-to-best1bin,Ackley,2000,GA,21.423978267424815,9,11
current-to-best1bin,Ackley,2000,SMCO,21.412231167680464,10,11
current-to-best1bin,Ackley,2000,DEoptim,21.363056928357512,11,11
current-to-best1bin,Ackley,3000,SMCO_BR_EVO,22.149006089907154,1,11
current-to-best1bin,Ackley,3000,SMCO_R_EVO,22.139990298307886,2,11
current-to-best1bin,Ackley,3000,SMCO_EVO,22.032317199690624,3,11
current-to-best1bin,Ackley,3000,SMCO_BR,21.90992625267647,4,11
current-to-best1bin,Ackley,3000,GenSA,21.905400336903423,5,11
current-to-best1bin,Ackley,3000,SA,21.864929046117897,6,11
current-to-best1bin,Ackley,3000,PSO,21.74146523673044,7,11
current-to-best1bin,Ackley,3000,SMCO_R,21.563667434577347,8,11
current-to-best1bin,Ackley,3000,SMCO,21.532214189963604,9,11
current-to-best1bin,Ackley,3000,GA,21.404660691573028,10,11
current-to-best1bin,Ackley,3000,DEoptim,21.34290122913012,11,11
current-to-best1bin,Ackley,4000,SMCO_BR_EVO,22.140270553761873,1,11
current-to-best1bin,Ackley,4000,SMCO_R_EVO,22.093498174791154,2,11
current-to-best1bin,Ackley,4000,SMCO_EVO,22.06464569086828,3,11
current-to-best1bin,Ackley,4000,SMCO_BR,21.90941466516003,4,11
current-to-best1bin,Ackley,4000,GenSA,21.864770869740198,5,11
current-to-best1bin,Ackley,4000,SA,21.842683492138292,6,11
current-to-best1bin,Ackley,4000,PSO,21.711805007306616,7,11
current-to-best1bin,Ackley,4000,SMCO_R,21.696596470859426,8,11
current-to-best1bin,Ackley,4000,SMCO,21.664995317854874,9,11
current-to-best1bin,Ackley,4000,GA,21.397228574401577,10,11
current-to-best1bin,Ackley,4000,DEoptim,21.34122138647738,11,11
current-to-best1bin,Ackley,5000,SMCO_BR_EVO,22.15204416815449,1,11
current-to-best1bin,Ackley,5000,SMCO_R_EVO,22.112141453355903,2,11
current-to-best1bin,Ackley,5000,SMCO_EVO,22.060942772029435,3,11
current-to-best1bin,Ackley,5000,SMCO_BR,21.912597619812423,4,11
current-to-best1bin,Ackley,5000,GenSA,21.73148729514309,5,11
current-to-best1bin,Ackley,5000,SMCO_R,21.72570270016472,6,11
current-to-best1bin,Ackley,5000,PSO,21.721434902688344,7,11
current-to-best1bin,Ackley,5000,SMCO,21.697044955860562,8,11
current-to-best1bin,Ackley,5000,SA,21.665474326389205,9,11
current-to-best1bin,Ackley,5000,GA,21.385606465715362,10,11
current-to-best1bin,Ackley,5000,DEoptim,21.328332378863344,11,11
current-to-best1bin,Rastrigin,1000,SA,40353.2901937765,1,11
current-to-best1bin,Rastrigin,1000,GenSA,40353.29019371744,2,11
current-to-best1bin,Rastrigin,1000,PSO,29165.33059818275,3,11
current-to-best1bin,Rastrigin,1000,SMCO_R,29138.03230207167,4,11
current-to-best1bin,Rastrigin,1000,SMCO_R_EVO,29138.02210024288,5,11
current-to-best1bin,Rastrigin,1000,SMCO_BR,29126.310254371823,6,11
current-to-best1bin,Rastrigin,1000,SMCO_BR_EVO,29125.55358527581,7,11
current-to-best1bin,Rastrigin,1000,SMCO,29109.966169755517,8,11
current-to-best1bin,Rastrigin,1000,SMCO_EVO,29109.53341967424,9,11
current-to-best1bin,Rastrigin,1000,GA,21059.0835568463,10,11
current-to-best1bin,Rastrigin,1000,DEoptim,19911.698094201394,11,11
current-to-best1bin,Rastrigin,2000,GenSA,80706.5803872955,1,11
current-to-best1bin,Rastrigin,2000,PSO,58152.53797892792,2,11
current-to-best1bin,Rastrigin,2000,SMCO_R_EVO,57943.735655981036,3,11
current-to-best1bin,Rastrigin,2000,SMCO_R,57929.575992560334,4,11
current-to-best1bin,Rastrigin,2000,SMCO_BR,57911.78566871155,5,11
current-to-best1bin,Rastrigin,2000,SMCO_BR_EVO,57911.57064659148,6,11
current-to-best1bin,Rastrigin,2000,SMCO_EVO,57883.29476627167,7,11
current-to-best1bin,Rastrigin,2000,SMCO,57881.35493030282,8,11
current-to-best1bin,Rastrigin,2000,SA,57849.4274515718,9,11
current-to-best1bin,Rastrigin,2000,GA,39985.96662560166,10,11
current-to-best1bin,Rastrigin,2000,DEoptim,39049.42474348234,11,11
current-to-best1bin,Rastrigin,3000,GenSA,121059.87040453288,1,11
current-to-best1bin,Rastrigin,3000,PSO,87035.34159179099,2,11
current-to-best1bin,Rastrigin,3000,SA,86781.56655992431,3,11
current-to-best1bin,Rastrigin,3000,SMCO_R_EVO,86094.5555976759,4,11
current-to-best1bin,Rastrigin,3000,SMCO_R,86068.11548491748,5,11
current-to-best1bin,Rastrigin,3000,SMCO_BR_EVO,86031.64588793849,6,11
current-to-best1bin,Rastrigin,3000,SMCO_EVO,86028.14017521989,7,11
current-to-best1bin,Rastrigin,3000,SMCO_BR,86027.36301720096,8,11
current-to-best1bin,Rastrigin,3000,SMCO,86021.13959544411,9,11
current-to-best1bin,Rastrigin,3000,GA,59470.21118374476,10,11
current-to-best1bin,Rastrigin,3000,DEoptim,57968.501820506805,11,11
current-to-best1bin,Rastrigin,4000,GenSA,161412.67179774528,1,11
current-to-best1bin,Rastrigin,4000,PSO,115988.19110691891,2,11
current-to-best1bin,Rastrigin,4000,SA,115692.09726627979,3,11
current-to-best1bin,Rastrigin,4000,SMCO_R_EVO,114380.51305935602,4,11
current-to-best1bin,Rastrigin,4000,SMCO_R,114374.76422763668,5,11
current-to-best1bin,Rastrigin,4000,SMCO_BR_EVO,114319.86604742098,6,11
current-to-best1bin,Rastrigin,4000,SMCO_EVO,114314.91250137634,7,11
current-to-best1bin,Rastrigin,4000,SMCO_BR,114314.06385418148,8,11
current-to-best1bin,Rastrigin,4000,SMCO,114310.4567734591,9,11
current-to-best1bin,Rastrigin,4000,DEoptim,77000.13010232343,10,11
current-to-best1bin,Rastrigin,4000,GA,76768.81248488357,11,11
current-to-best1bin,Rastrigin,5000,GenSA,201766.21261094167,1,11
current-to-best1bin,Rastrigin,5000,PSO,144957.97011654064,2,11
current-to-best1bin,Rastrigin,5000,SA,144455.59698672255,3,11
current-to-best1bin,Rastrigin,5000,SMCO_R_EVO,142540.83638789976,4,11
current-to-best1bin,Rastrigin,5000,SMCO_R,142512.25069086358,5,11
current-to-best1bin,Rastrigin,5000,SMCO_BR,142460.14573842997,6,11
current-to-best1bin,Rastrigin,5000,SMCO_BR_EVO,142458.4895438425,7,11
current-to-best1bin,Rastrigin,5000,SMCO,142458.32504618834,8,11
current-to-best1bin,Rastrigin,5000,SMCO_EVO,142432.29777746001,9,11
current-to-best1bin,Rastrigin,5000,DEoptim,95772.36984367606,10,11
current-to-best1bin,Rastrigin,5000,GA,94743.88053801833,11,11
current-to-best1bin,Rosenbrock,1000,GenSA,809563419.0,1,11
current-to-best1bin,Rosenbrock,1000,SA,542589309.0,2,11
current-to-best1bin,Rosenbrock,1000,PSO,532788129.0,3,11
current-to-best1bin,Rosenbrock,1000,SMCO_EVO,463443829.07431805,4,11
current-to-best1bin,Rosenbrock,1000,SMCO,463389064.8849098,5,11
current-to-best1bin,Rosenbrock,1000,SMCO_R,422712947.97426564,6,11
current-to-best1bin,Rosenbrock,1000,SMCO_R_EVO,422659750.85499537,7,11
current-to-best1bin,Rosenbrock,1000,SMCO_BR_EVO,361314025.78286856,8,11
current-to-best1bin,Rosenbrock,1000,SMCO_BR,348193067.76848793,9,11
current-to-best1bin,Rosenbrock,1000,GA,228741053.82543468,10,11
current-to-best1bin,Rosenbrock,1000,DEoptim,160936607.22145408,11,11
current-to-best1bin,Rosenbrock,2000,GenSA,1619644419.0,1,11
current-to-best1bin,Rosenbrock,2000,SA,1082940579.0,2,11
current-to-best1bin,Rosenbrock,2000,PSO,1038838524.0,3,11
current-to-best1bin,Rosenbrock,2000,SMCO,869247612.9724323,4,11
current-to-best1bin,Rosenbrock,2000,SMCO_EVO,869037289.3809952,5,11
current-to-best1bin,Rosenbrock,2000,SMCO_R_EVO,775870948.4175621,6,11
current-to-best1bin,Rosenbrock,2000,SMCO_R,775822748.1332974,7,11
current-to-best1bin,Rosenbrock,2000,SMCO_BR_EVO,667858608.950692,8,11
current-to-best1bin,Rosenbrock,2000,SMCO_BR,618155929.2741712,9,11
current-to-best1bin,Rosenbrock,2000,GA,378960173.9105427,10,11
current-to-best1bin,Rosenbrock,2000,DEoptim,298880966.55981404,11,11
current-to-best1bin,Rosenbrock,3000,GenSA,2429725419.0,1,11
current-to-best1bin,Rosenbrock,3000,SA,1590726046.5,2,11
current-to-best1bin,Rosenbrock,3000,PSO,1567742184.0,3,11
current-to-best1bin,Rosenbrock,3000,SMCO,1239722873.845387,4,11
current-to-best1bin,Rosenbrock,3000,SMCO_EVO,1239385157.2331452,5,11
current-to-best1bin,Rosenbrock,3000,SMCO_R_EVO,1110555709.568077,6,11
current-to-best1bin,Rosenbrock,3000,SMCO_R,1094303115.940483,7,11
current-to-best1bin,Rosenbrock,3000,SMCO_BR_EVO,928660317.1534901,8,11
current-to-best1bin,Rosenbrock,3000,SMCO_BR,859724697.6735848,9,11
current-to-best1bin,Rosenbrock,3000,GA,558462340.9012433,10,11
current-to-best1bin,Rosenbrock,3000,DEoptim,435025937.7010499,11,11
current-to-best1bin,Rosenbrock,4000,GenSA,3239806419.0,1,11
current-to-best1bin,Rosenbrock,4000,SA,2174326321.5,2,11
current-to-best1bin,Rosenbrock,4000,PSO,2080429884.0,3,11
current-to-best1bin,Rosenbrock,4000,SMCO_EVO,1601826824.5663753,4,11
