strategy,pair,func,dim,base_cv,evo_cv,cv_ratio,evo_more_stable
best1bin,SMCO_vs_SMCO_EVO,Ackley,1000,0.0626,0.0272,0.434,1
best1bin,SMCO_vs_SMCO_EVO,Ackley,2000,0.03,0.0375,1.2502,0
best1bin,SMCO_vs_SMCO_EVO,Ackley,3000,0.0166,0.0844,5.0952,0
best1bin,SMCO_vs_SMCO_EVO,Ackley,4000,0.012,0.0788,6.5558,0
best1bin,SMCO_vs_SMCO_EVO,Ackley,5000,0.017,0.0729,4.3005,0
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,1000,0.4874,0.4888,1.0029,0
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,2000,0.3723,0.3767,1.0119,0
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,3000,0.0311,0.0165,0.5311,1
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,4000,0.205,0.207,1.0097,0
best1bin,SMCO_vs_SMCO_EVO,Rastrigin,5000,0.1368,0.1552,1.1346,0
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,1000,0.5854,0.5704,0.9743,1
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,2000,0.7005,0.718,1.025,0
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,3000,0.0822,0.1124,1.3678,0
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,4000,0.3239,0.2386,0.7365,1
best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,5000,0.2004,3.1142,15.5425,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,0.0445,0.0656,1.4755,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,0.0134,0.0153,1.1404,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,0.0193,0.0028,0.1468,1
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,0.0119,0.0114,0.9604,1
best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,5000,0.0159,0.0408,2.5673,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,1000,0.4888,0.489,1.0003,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,2000,0.3759,0.3813,1.0142,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,0.0265,0.0235,0.8891,1
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,0.2059,0.2005,0.9735,1
best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,0.138,0.1549,1.1226,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,0.7271,3.3012,4.54,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,0.6125,3.1496,5.142,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,3000,0.0021,1.7089,798.9875,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,4000,0.0651,0.5855,8.9919,0
best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,5000,0.2206,0.3901,1.7682,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,1000,0.0442,0.0563,1.2742,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,2000,0.0157,0.0225,1.4387,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,3000,0.0116,0.0601,5.1944,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,4000,0.0138,0.005,0.3614,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,5000,0.016,0.0244,1.5271,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,0.4878,0.4873,0.999,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,0.3693,0.3668,0.9933,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,0.0276,0.026,0.9441,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,0.1881,0.1758,0.9346,1
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,0.1301,0.152,1.1687,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,1.1008,1.8586,1.6884,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,0.3509,1.2255,3.4927,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,0.1286,1.0267,7.9847,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,0.3176,0.5237,1.6491,0
best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,0.2278,0.7585,3.3301,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,1000,0.0626,0.0303,0.4836,1
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,2000,0.03,0.106,3.5279,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,3000,0.0166,0.0442,2.6678,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,4000,0.012,0.0158,1.3191,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Ackley,5000,0.017,0.039,2.2978,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,1000,0.4874,0.4888,1.0029,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,2000,0.3723,0.3767,1.0119,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,3000,0.0311,0.0165,0.5311,1
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,4000,0.205,0.207,1.0097,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rastrigin,5000,0.1368,0.1552,1.1346,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,1000,0.5854,0.5704,0.9743,1
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,2000,0.7005,0.718,1.025,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,3000,0.0822,0.1124,1.3678,0
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,4000,0.3239,0.284,0.8768,1
current-to-best1bin,SMCO_vs_SMCO_EVO,Rosenbrock,5000,0.2004,0.228,1.1377,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,0.0445,0.0379,0.8518,1
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,0.0134,0.0206,1.5342,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,0.0193,0.0299,1.553,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,0.0119,0.0233,1.9672,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,5000,0.0159,0.0663,4.1731,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,1000,0.4888,0.489,1.0003,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,2000,0.3759,0.3813,1.0142,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,0.0265,0.0235,0.8891,1
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,0.2059,0.2005,0.9735,1
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,0.138,0.1549,1.1226,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,0.7271,0.7051,0.9696,1
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,0.6125,0.5713,0.9327,1
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,3000,0.0021,0.4093,191.3533,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,4000,0.0651,2.614,40.1489,0
current-to-best1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,5000,0.2206,2.272,10.2997,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,1000,0.0442,0.0519,1.1755,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,2000,0.0157,0.0912,5.8227,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,3000,0.0116,0.011,0.9474,1
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,4000,0.0138,0.0406,2.9412,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,5000,0.016,0.0689,4.3044,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,0.4878,0.4873,0.999,1
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,0.3693,0.3668,0.9933,1
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,0.0276,0.026,0.9441,1
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,0.1881,0.1758,0.9346,1
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,0.1301,0.152,1.1687,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,1.1008,2.522,2.291,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,0.3509,6.8887,19.6329,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,0.1286,0.4593,3.572,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,0.3176,2.2371,7.044,0
current-to-best1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,0.2278,1.3728,6.0269,0
rand1bin,SMCO_vs_SMCO_EVO,Ackley,1000,0.0626,0.0702,1.121,0
rand1bin,SMCO_vs_SMCO_EVO,Ackley,2000,0.03,0.0528,1.758,0
rand1bin,SMCO_vs_SMCO_EVO,Ackley,3000,0.0166,0.0053,0.3199,1
rand1bin,SMCO_vs_SMCO_EVO,Ackley,4000,0.012,0.0376,3.1334,0
rand1bin,SMCO_vs_SMCO_EVO,Ackley,5000,0.017,0.0043,0.2563,1
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,1000,0.4874,0.488,1.0012,0
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,2000,0.3723,0.3765,1.0114,0
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,3000,0.0311,0.0095,0.305,1
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,4000,0.205,0.2114,1.031,0
rand1bin,SMCO_vs_SMCO_EVO,Rastrigin,5000,0.1368,0.154,1.1257,0
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,1000,0.5854,0.5683,0.9707,1
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,2000,0.7005,0.6917,0.9875,1
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,3000,0.0822,0.0946,1.1514,0
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,4000,0.3239,0.2867,0.8851,1
rand1bin,SMCO_vs_SMCO_EVO,Rosenbrock,5000,0.2004,0.2326,1.1608,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,0.0445,0.034,0.7653,1
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,0.0134,0.0145,1.0824,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,0.0193,0.0119,0.6179,1
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,0.0119,0.0388,3.265,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Ackley,5000,0.0159,0.0094,0.592,1
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,1000,0.4888,0.4888,1.0,1
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,2000,0.3759,0.3793,1.009,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,0.0265,0.0326,1.2312,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,0.2059,0.2026,0.9837,1
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,0.138,0.1506,1.0917,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,0.7271,0.7294,1.0031,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,0.6125,1.0832,1.7683,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,3000,0.0021,0.3312,154.8478,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,4000,0.0651,2.5488,39.1471,0
rand1bin,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,5000,0.2206,1.252,5.6758,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,1000,0.0442,0.0508,1.1512,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,2000,0.0157,0.0097,0.622,1
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,3000,0.0116,0.0034,0.2975,1
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,4000,0.0138,0.0706,5.116,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Ackley,5000,0.016,0.0145,0.9086,1
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,0.4878,0.4894,1.0032,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,0.3693,0.3664,0.9922,1
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,0.0276,0.0279,1.0103,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,0.1881,0.1639,0.8716,1
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,0.1301,0.1497,1.1509,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,1.1008,3.5614,3.2353,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,0.3509,2.0535,5.8526,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,0.1286,1.4166,11.0162,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,0.3176,1.2515,3.9406,0
rand1bin,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,0.2278,0.9606,4.2169,0
sobol,SMCO_vs_SMCO_EVO,Ackley,1000,0.0626,0.0502,0.8026,1
sobol,SMCO_vs_SMCO_EVO,Ackley,2000,0.03,0.0385,1.2824,0
sobol,SMCO_vs_SMCO_EVO,Ackley,3000,0.0166,0.0047,0.2812,1
sobol,SMCO_vs_SMCO_EVO,Ackley,4000,0.012,0.0829,6.8975,0
sobol,SMCO_vs_SMCO_EVO,Ackley,5000,0.017,0.0084,0.4943,1
sobol,SMCO_vs_SMCO_EVO,Rastrigin,1000,0.4874,0.4894,1.004,0
sobol,SMCO_vs_SMCO_EVO,Rastrigin,2000,0.3723,0.3768,1.0121,0
sobol,SMCO_vs_SMCO_EVO,Rastrigin,3000,0.0311,0.0111,0.3569,1
sobol,SMCO_vs_SMCO_EVO,Rastrigin,4000,0.205,0.1998,0.9744,1
sobol,SMCO_vs_SMCO_EVO,Rastrigin,5000,0.1368,0.1571,1.1482,0
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,1000,0.5854,0.5585,0.954,1
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,2000,0.7005,0.6635,0.9471,1
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,3000,0.0822,0.1064,1.2947,0
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,4000,0.3239,0.2737,0.8449,1
sobol,SMCO_vs_SMCO_EVO,Rosenbrock,5000,0.2004,0.2341,1.1683,0
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,1000,0.0445,0.0749,1.6846,0
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,2000,0.0134,0.0198,1.478,0
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,3000,0.0193,0.0281,1.4599,0
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,4000,0.0119,0.0382,3.2158,0
sobol,SMCO_R_vs_SMCO_R_EVO,Ackley,5000,0.0159,0.007,0.4408,1
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,1000,0.4888,0.4889,1.0001,0
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,2000,0.3759,0.3839,1.0211,0
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,3000,0.0265,0.0219,0.826,1
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,4000,0.2059,0.2025,0.9835,1
sobol,SMCO_R_vs_SMCO_R_EVO,Rastrigin,5000,0.138,0.1542,1.118,0
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,1000,0.7271,0.7303,1.0043,0
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,2000,0.6125,0.6003,0.98,1
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,3000,0.0021,0.0507,23.7179,0
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,4000,0.0651,0.1027,1.5772,0
sobol,SMCO_R_vs_SMCO_R_EVO,Rosenbrock,5000,0.2206,0.2458,1.1143,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,1000,0.0442,0.0462,1.0471,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,2000,0.0157,0.0146,0.93,1
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,3000,0.0116,0.0195,1.6811,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,4000,0.0138,0.0351,2.542,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Ackley,5000,0.016,0.0352,2.2025,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,1000,0.4878,0.4909,1.0063,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,2000,0.3693,0.367,0.9937,1
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,3000,0.0276,0.0318,1.1547,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,4000,0.1881,0.171,0.9093,1
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rastrigin,5000,0.1301,0.1462,1.1239,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,1000,1.1008,1.0923,0.9923,1
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,2000,0.3509,0.3237,0.9226,1
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,3000,0.1286,0.1079,0.8392,1
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,4000,0.3176,0.3286,1.0347,0
sobol,SMCO_BR_vs_SMCO_BR_EVO,Rosenbrock,5000,0.2278,0.2531,1.111,0
