strategy,algo,func,dim,rep,fopt,time,iterations,seed
rand1bin,SMCO,Rosenbrock,3000,0,1246668998.46489,5068.949,355,3021
rand1bin,SMCO,Rosenbrock,3000,1,1242863766.82264,5106.543,355,1003024
rand1bin,SMCO,Rastrigin,3000,1,85749.3907601919,6180.21,355,1003024
rand1bin,SMCO,Rastrigin,3000,0,85824.303345843,6209.86,355,3021
rand1bin,SMCO,Ackley,3000,1,21.5282376934726,7199.891,355,1003024
rand1bin,SMCO,Ackley,3000,0,21.5385804331826,7209.817,355,3021
rand1bin,SMCO_R,Rosenbrock,3000,0,1098352260.29963,5156.072,205,3021
rand1bin,SMCO_R,Rosenbrock,3000,1,1095311927.74628,5151.79,205,1003024
rand1bin,SMCO_R,Rastrigin,3000,1,85808.5115530212,6199.41,205,1003024
rand1bin,SMCO_R,Rastrigin,3000,0,85871.534114763,6172.747,205,3021
rand1bin,SMCO_R,Ackley,3000,1,21.5600843919054,7013.703,205,1003024
rand1bin,SMCO_R,Ackley,3000,0,21.56470301324,7019.607,205,3021
rand1bin,SMCO_BR,Rosenbrock,3000,0,861641089.445202,5179.323,130,3021
rand1bin,SMCO_BR,Rosenbrock,3000,1,863089571.729366,5229.73,130,1003024
rand1bin,SMCO,Rosenbrock,5000,1,1945602011.2889,16729.548,371,1005024
rand1bin,SMCO,Rosenbrock,5000,0,1944394202.47714,16782.975,371,5021
rand1bin,SMCO_BR,Rastrigin,3000,0,85846.1175916,6517.408,130,3021
rand1bin,SMCO_BR,Rastrigin,3000,1,85769.8384451059,6543.372,130,1003024
rand1bin,SMCO_BR,Ackley,3000,1,21.9049766646253,6994.945,130,1003024
rand1bin,SMCO_BR,Ackley,3000,0,21.913781012255,6996.501,130,3021
rand1bin,SMCO,Rastrigin,5000,0,142456.179020845,21842.914,371,5021
rand1bin,SMCO,Rastrigin,5000,1,142694.793870656,21842.949,371,1005024
rand1bin,SMCO_EVO,Rosenbrock,3000,0,27972088419.5126,7076.948,185,3021
rand1bin,SMCO_EVO,Rosenbrock,3000,1,33088273288.2946,7042.091,185,1003024
rand1bin,SMCO,Ackley,5000,0,21.6956510170537,25499.121,371,5021
rand1bin,SMCO,Ackley,5000,1,21.6972495186705,25500.519,371,1005024
rand1bin,SMCO_EVO,Rastrigin,3000,0,144497.054365882,8739.758,185,3021
rand1bin,SMCO_EVO,Rastrigin,3000,1,139446.131071118,8759.694,185,1003024
rand1bin,SMCO_R_EVO,Rosenbrock,3000,1,12718994881.1991,6174.992,298,1003024
rand1bin,SMCO_R_EVO,Rosenbrock,3000,0,10969101503.2028,6229.534,298,3021
rand1bin,SMCO_EVO,Ackley,3000,1,22.0982007584278,10146.427,185,1003024
rand1bin,SMCO_EVO,Ackley,3000,0,22.09969487105,10136.304,185,3021
rand1bin,SMCO_R,Rosenbrock,5000,0,1691900624.27196,16841.933,221,5021
rand1bin,SMCO_R,Rosenbrock,5000,1,1689177510.78812,17094.94,221,1005024
rand1bin,SMCO_BR_EVO,Rosenbrock,3000,1,10723950406.2335,6315.816,204,1003024
rand1bin,DEoptim,Rosenbrock,3000,1,453225748.79025,0.480000000003201,300,1003024
rand1bin,GA,Rosenbrock,3000,1,426190874.63615,4.46399999999994,300,1003024
rand1bin,PSO,Rosenbrock,3000,1,1517327724.60317,5.00800000000163,300,1003024
rand1bin,SMCO_BR_EVO,Rosenbrock,3000,0,12687500247.6936,6322.178,204,3021
rand1bin,DEoptim,Rosenbrock,3000,0,453066877.659751,0.494999999995343,300,3021
rand1bin,GA,Rosenbrock,3000,0,430482684.783458,4.5109999999986,300,3021
rand1bin,PSO,Rosenbrock,3000,0,1593180053.98485,5.36699999999837,300,3021
rand1bin,SMCO_R_EVO,Rastrigin,3000,0,123353.99990306,7776.133,298,3021
rand1bin,SMCO_R_EVO,Rastrigin,3000,1,126958.720596596,7832.551,298,1003024
rand1bin,SMCO_R_EVO,Ackley,3000,0,22.0968592453,9355.967,298,3021
rand1bin,SMCO_R_EVO,Ackley,3000,1,22.0968141126181,9363.389,298,1003024
rand1bin,SMCO_R,Rastrigin,5000,0,142498.841794459,21737.419,221,5021
rand1bin,SMCO_R,Rastrigin,5000,1,142818.707987679,21852.731,221,1005024
rand1bin,SMCO_BR_EVO,Rastrigin,3000,0,145184.527159467,8299.718,204,3021
rand1bin,DEoptim,Rastrigin,3000,0,58840.873155567,0.690999999998894,300,3021
rand1bin,GA,Rastrigin,3000,0,58498.2928077257,5.71500000000378,300,3021
rand1bin,PSO,Rastrigin,3000,0,85284.7732234124,5.76399999999558,300,3021
rand1bin,SMCO_BR_EVO,Rastrigin,3000,1,135191.325889804,8295.522,204,1003024
rand1bin,DEoptim,Rastrigin,3000,1,58900.0096959305,0.724000000001979,300,1003024
rand1bin,GA,Rastrigin,3000,1,58625.9638836906,5.29699999999866,300,1003024
rand1bin,PSO,Rastrigin,3000,1,86169.7857030817,5.70499999999447,300,1003024
rand1bin,SMCO_BR_EVO,Ackley,3000,0,22.1126340135621,8847.982,295,3021
rand1bin,DEoptim,Ackley,3000,0,21.3716080457947,0.72099999999773,300,3021
rand1bin,GA,Ackley,3000,0,21.3725630741493,5.51000000000204,300,3021
rand1bin,PSO,Ackley,3000,0,21.7543991956603,6.11000000000058,300,3021
rand1bin,SMCO_BR_EVO,Ackley,3000,1,22.1091103481573,8869.609,204,1003024
rand1bin,DEoptim,Ackley,3000,1,21.3665026418953,0.739999999997963,300,1003024
rand1bin,GA,Ackley,3000,1,21.367124413881,5.62299999999959,300,1003024
rand1bin,PSO,Ackley,3000,1,21.7627983866167,6.09200000000419,300,1003024
rand1bin,SMCO_R,Ackley,5000,0,21.7286224683534,24839.871,221,5021
rand1bin,SMCO_R,Ackley,5000,1,21.7269193278062,25008.657,221,1005024
rand1bin,SMCO_BR,Rosenbrock,5000,0,1312197561.99702,17548.594,146,5021
rand1bin,SMCO_BR,Rosenbrock,5000,1,1308910089.03953,17622.12,146,1005024
rand1bin,SMCO_BR,Rastrigin,5000,0,142423.255190279,23831.288,146,5021
rand1bin,SMCO_BR,Rastrigin,5000,1,142710.091571469,23747.423,146,1005024
rand1bin,SMCO_BR,Ackley,5000,0,21.9102727665549,24825.649,146,5021
rand1bin,SMCO_BR,Ackley,5000,1,21.9114872669948,24780.943,146,1005024
rand1bin,SMCO_EVO,Rosenbrock,5000,0,49031106151.1682,24758.291,217,5021
rand1bin,SMCO_EVO,Rosenbrock,5000,1,53403365655.1876,24725.344,217,1005024
rand1bin,SMCO_R_EVO,Rosenbrock,5000,1,17629507294.4001,21093.169,330,1005024
rand1bin,SMCO_R_EVO,Rosenbrock,5000,0,18858272911.1,21415.796,330,5021
rand1bin,SMCO_EVO,Rastrigin,5000,1,247399.566735938,31734.589,217,1005024
rand1bin,SMCO_EVO,Rastrigin,5000,0,244548.145822312,31981.876,217,5021
rand1bin,SMCO_EVO,Ackley,5000,0,22.1008446987178,37043.364,217,5021
rand1bin,SMCO_EVO,Ackley,5000,1,22.0955310624982,36921.433,217,1005024
rand1bin,SMCO_BR_EVO,Rosenbrock,5000,1,18786566799.3824,21293.881,236,1005024
rand1bin,DEoptim,Rosenbrock,5000,1,706592230.169505,0.889999999999418,300,1005024
rand1bin,GA,Rosenbrock,5000,1,680213577.345914,7.80000000000291,300,1005024
rand1bin,PSO,Rosenbrock,5000,1,2475373532.29456,8.3289999999979,300,1005024
rand1bin,SMCO_BR_EVO,Rosenbrock,5000,0,20478034156.0569,22124.959,236,5021
rand1bin,DEoptim,Rosenbrock,5000,0,705882802.459967,0.955000000001746,300,5021
rand1bin,GA,Rosenbrock,5000,0,696678309.398277,9.12699999999313,300,5021
rand1bin,PSO,Rosenbrock,5000,0,2510936355.8992,8.88400000000547,300,5021
rand1bin,SMCO_R_EVO,Rastrigin,5000,1,203431.929144,28389.036,330,1005024
rand1bin,SMCO_R_EVO,Rastrigin,5000,0,198498.926719561,28794.84,330,5021
rand1bin,SMCO_R_EVO,Ackley,5000,0,22.0980517279687,33712.209,330,5021
rand1bin,SMCO_R_EVO,Ackley,5000,1,22.0893841231804,34082.792,330,1005024
rand1bin,GenSA,Ackley,3000,0,21.5577547081904,99069.715,2915513,3021
rand1bin,SA,Ackley,3000,0,21.9248494917857,418.366999999998,300,3021
rand1bin,SMCO_BR_EVO,Rastrigin,5000,1,221076.93982063,30600.486,236,1005024
rand1bin,DEoptim,Rastrigin,5000,1,95881.8412229783,1.28800000000047,300,1005024
rand1bin,GA,Rastrigin,5000,1,96192.1846090012,9.83999999999651,300,1005024
rand1bin,PSO,Rastrigin,5000,1,142935.736843917,9,300,1005024
rand1bin,SMCO_BR_EVO,Rastrigin,5000,0,223475.220230351,30940.949,236,5021
rand1bin,DEoptim,Rastrigin,5000,0,97141.4289810187,1.32399999999325,300,5021
rand1bin,GA,Rastrigin,5000,0,95694.8599412425,10.7939999999944,300,5021
rand1bin,PSO,Rastrigin,5000,0,144098.199677731,9.15000000002328,300,5021
rand1bin,GenSA,Ackley,3000,1,21.5971058152674,116292.029,3202316,1003024
rand1bin,SA,Ackley,3000,1,21.9177325626293,409.120999999985,300,1003024
rand1bin,SMCO_BR_EVO,Ackley,5000,0,22.1059256586047,31938.675,343,5021
rand1bin,DEoptim,Ackley,5000,0,21.3465178741378,1.41700000001583,300,5021
rand1bin,GA,Ackley,5000,0,21.3456473757345,9.98200000001816,300,5021
rand1bin,PSO,Ackley,5000,0,21.7442291753386,9.64900000000489,300,5021
rand1bin,SMCO_BR_EVO,Ackley,5000,1,22.1079949609882,32076.187,343,1005024
rand1bin,DEoptim,Ackley,5000,1,21.3392562662143,1.38899999999558,300,1005024
rand1bin,GA,Ackley,5000,1,21.3383186096952,10.9820000000182,300,1005024
rand1bin,PSO,Ackley,5000,1,21.7410586188484,9.7839999999851,300,1005024
rand1bin,GenSA,Ackley,5000,1,21.4250915945746,335512.956,4403610,1005024
rand1bin,SA,Ackley,5000,1,21.9222376535129,1490.86599999998,300,1005024
rand1bin,GenSA,Ackley,5000,0,21.4199019338284,351373.938,4404910,5021
rand1bin,SA,Ackley,5000,0,21.9219213077501,1492.55999999994,300,5021
rand1bin,GenSA,Rosenbrock,3000,1,2395220121.15166,500433.572,4592619,1003024
rand1bin,SA,Rosenbrock,3000,1,1654450029,57.2459999999264,300,1003024
rand1bin,GenSA,Rosenbrock,3000,0,2395348558.77237,519053.266,4732197,3021
rand1bin,SA,Rosenbrock,3000,0,1667388159,57.3129999999655,300,3021
rand1bin,GenSA,Rastrigin,3000,1,120991.128561517,582897.438,8516129,1003024
rand1bin,SA,Rastrigin,3000,1,86822.0900467261,113.564000000013,300,1003024
rand1bin,GenSA,Rastrigin,3000,0,120996.102918279,600638.224,8645940,3021
rand1bin,SA,Rastrigin,3000,0,86787.1718110477,112.209999999963,300,3021
rand1bin,GenSA,Rastrigin,5000,1,188862.966431347,2063735.503,10051671,1005024
rand1bin,SA,Rastrigin,5000,1,144634.997205398,372.679000000004,300,1005024
rand1bin,GenSA,Rastrigin,5000,0,187432.179590326,2087551.949,10021935,5021
rand1bin,SA,Rastrigin,5000,0,144646.425781865,411.555000000168,300,5021
